FID,Route_Name,Route_Numb,Route_Dire,On_Street,At_Street,X,Y
437,Crosstown 2,0.000000000000000, ,Wyandotte,St Marys,-82.958108363500003,42.330504827500000
438,Crosstown 2,0.000000000000000, ,Wyandotte,St Rose,-82.954552962400001,42.331187930200002
439,Crosstown 2,0.000000000000000, ,Wyandotte,Edward,-82.952433746099999,42.331874856100001
440,Crosstown 2,0.000000000000000, ,Wyandotte,Fairview,-82.949076517400002,42.332445493599998
441,Crosstown 2,0.000000000000000, ,Wyandotte,Matthew Brady,-82.946101745700005,42.332957162200003
442,Crosstown 2,0.000000000000000, ,Lauzon,Wyandotte,-82.944221515500004,42.334168098900001
443,Crosstown 2,0.000000000000000, ,Lauzon,Cedarview,-82.945336771699999,42.335940921000002
444,Crosstown 2,0.000000000000000, ,Lauzon,Clairview,-82.946717158100000,42.338151491600001
445,Crosstown 2,0.000000000000000, ,Lauzon,Riverside,-82.947668312499999,42.339675388499998
446,Crosstown 2,0.000000000000000, ,Riverside,Watson,-82.943506382699994,42.341395904400002
447,Crosstown 2,0.000000000000000, ,Riverside,Bayview Towers,-82.939037572199993,42.342407764100003
448,Crosstown 2,0.000000000000000, ,Riverside,St Clair Towers,-82.937355494399995,42.342231943400002
449,Crosstown 2,0.000000000000000, ,Riverside,Island View Towers,-82.935651049000001,42.341348505799999
450,Crosstown 2,0.000000000000000, ,Riverside,Westchester at the Lake,-82.933206728900004,42.339943061000000
451,Crosstown 2,0.000000000000000, ,Riverdale,Cedarview,-82.931348314199994,42.338368056400000
452,Crosstown 2,0.000000000000000, ,Riverdale,Menard,-82.930696266200002,42.335687371900001
453,Crosstown 2,0.000000000000000, ,Riverdale,Wyandotte,-82.930240761999997,42.333710509699998
454,Crosstown 2,0.000000000000000, ,Riverdale,Jerome,-82.929645287900001,42.331272728599998
455,Crosstown 2,0.000000000000000, ,Riverdale,St Rose,-82.929143960000005,42.329202937799998
