the_geom,stop_code,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,Source
POINT (-83.15992799999998 42.40241000000003),FKWYWB,202,278,Fenkell & Wyoming,Fenkell St & Wyoming St,42.40241,-83.159928,DDOT GTFS
POINT (-83.17975899999999 42.40187700000007),FKSFWB,203,279,Fenkell & Schaefer,Fenkell St & Schaefer Hwy,42.401877,-83.179759,DDOT GTFS
POINT (-83.19919699999997 42.40137800000008),FKGFWB,204,285,Fenkell & Greenfield,Fenkell St & Greenfield Rd,42.401378,-83.199197,DDOT GTFS
POINT (-83.21842799999996 42.401009000000045),FKSOWB,205,286,Fenkell & Southfield,,42.401009,-83.218428,DDOT GTFS
POINT (-83.23812299999997 42.400540000000035),FKEGWB,206,287,Fenkell & Evergreen,,42.40054,-83.238123,DDOT GTFS
POINT (-83.27594699999997 42.39994100000007),FKDLWB,207,288,Fenkell & Dale,5 Mile Rd & Greenfield Rd,42.399941,-83.275947,DDOT GTFS
POINT (-83.06696799999997 42.322366000000045),FTRPWB,208,290,Fort & Rosa Park,W Fort St & Rosa Parks Blvd,42.322366,-83.066968,DDOT GTFS
POINT (-83.09033199999999 42.31253200000003),FTCKWB,209,291,FORT & CLARK,W Fort St & Clark St,42.312532,-83.090332,DDOT GTFS
POINT (-83.10865599999994 42.304748000000075),FTWMWB,210,292,FORT & WATERMAN,W Fort St & Waterman St,42.304748,-83.108656,DDOT GTFS
POINT (-83.14095799999996 42.292013000000054),FTMLWB,211,293,Fort & Miller,W Fort St & Miller Rd,42.292013,-83.140958,DDOT GTFS
POINT (-83.15560299999999 42.27621700000003),FTSFWB,212,294,Fort & Schaefer,S Fort St & S Schaefer Hwy,42.276217,-83.155603,DDOT GTFS
POINT (-83.16683699999999 42.26228800000007),FTODWB,213,295,Fort & West Outer Drive,S Fort St & Outer Dr,42.262288,-83.166837,DDOT GTFS
POINT (-83.16131299999995 42.25541800000008),BAODSB,214,296,Bassett & West Outer Drive,S Bassett St & Outer Dr,42.255418,-83.161313,DDOT GTFS
